group1,group2,meandiff,p-adj,lower,upper,reject
5,16,-64333507.6246,0.4992,-148807207.2353,20140191.986,False
5,17,14475965.79,0.9,-105693616.4449,134645548.025,False
5,18,-61221345.7571,0.8925,-162123468.7941,39680777.28,False
5,19,48468477.1822,0.9,-66064948.0445,163001902.409,False
5,20,23627506.6182,0.9,-72969401.0398,120224414.2761,False
5,21,31594238.732,0.9,-77879297.1096,141067774.5736,False
5,22,187946545.6299,0.001,50674979.8106,325218111.4492,True
5,23,9902129.1927,0.9,-97962324.229,117766582.6144,False
5,24,-16866861.9065,0.9,-134073753.7986,100340029.9855,False
5,25,-64416567.8017,0.9,-171142639.0399,42309503.4366,False
5,26,20251657.8044,0.9,-95853712.3693,136357027.978,False
5,27,12794466.7911,0.9,-87276063.5347,112864997.1169,False
5,28,-18905345.3275,0.9,-105403193.8659,67592503.2109,False
5,29,23742932.7324,0.9,-72628588.9817,120114454.4466,False
